Zone,lat,lng
8,1.371634,103.853064
9,1.332295,103.929747
10,1.327761,103.93846
11,1.336105,103.921843
12,1.334281,103.91138
16,1.327365,103.922862
20,1.350164,103.849647
27,1.344765,103.745535
31,1.290048,103.827468
32,1.28294,103.825489
33,1.289373,103.81042
35,1.276491,103.810936
38,1.38509,103.769637
39,1.37553,103.765424
46,1.277251,103.841694
49,1.290715,103.846146
52,1.306398,103.856969
54,1.28345,103.84541
56,1.3001556,103.8539147
57,1.30118,103.86091
58,1.358059,103.990089
60,1.38525,103.744922
64,1.399571,103.747491
68,1.304208,103.763558
72,1.326411,103.88797
75,1.32276,103.886197
76,1.32959,103.902736
79,1.37566,103.88252
85,1.362366,103.890053
87,1.33115,103.74184
89,1.341813,103.737565
92,1.341566,103.745218
93,1.344062,103.711245
97,1.344321,103.703856
99,1.344525,103.69462
107,1.312025,103.85209
108,1.322882,103.868614
110,1.327411,103.852514
116,1.303797,103.912898
118,1.37877,103.9374
119,1.371297,103.949451
121,1.372102,103.955033
122,1.366493,103.959538
124,1.405832,103.913198
125,1.39716,103.9151
126,1.398065,103.908213
127,1.402703,103.901963
135,1.308861,103.796213
141,1.446177,103.818248
143,1.390657,103.890279
145,1.393647,103.899491
146,1.390411,103.8803
147,1.39663,103.878221
148,1.3903867,103.9061507
150,1.39333,103.89251
154,1.34985,103.875774
155,1.354025,103.868894
160,1.344756,103.958393
162,1.351249,103.939541
165,1.350578,103.947646
166,1.350399,103.95424
168,1.363097,103.952238
169,1.359905,103.934176
170,1.348868,103.933418
181,1.438732,103.800336
182,1.447049,103.805007
183,1.432869,103.786504
184,1.443332,103.795599
186,1.434854,103.795957
187,1.424284,103.833346
188,1.4355487,103.8320274
189,1.430843,103.840951
192,1.419846,103.8451
193,1.416572,103.840604
